证券代码,证券简称,"总市值2
[交易日期] 最新收盘日
[单位] 元"
851021.SI,计算机设备Ⅲ(申万),"745,400,868,010.0000"
851111.SI,冰箱(申万),"91,056,784,993.0000"
851112.SI,空调(申万),"287,890,863,848.0000"
851113.SI,洗衣机(申万),"29,778,027,569.0000"
851114.SI,小家电(申万),"219,342,587,158.0000"
851115.SI,家电零部件(申万),"157,246,223,160.0000"
851121.SI,彩电(申万),"126,684,888,029.0000"
851122.SI,其它视听器材(申万),"50,884,993,852.0000"
851231.SI,白酒(申万),"849,835,425,828.0000"
851232.SI,啤酒(申万),"85,866,991,501.0000"
851233.SI,其他酒类(申万),"35,009,690,000.0000"
851234.SI,软饮料(申万),"34,362,027,765.0000"
851235.SI,葡萄酒(申万),"60,110,094,212.0000"
851236.SI,黄酒(申万),"19,089,104,693.0000"
851241.SI,肉制品(申万),"100,176,256,490.0000"
851242.SI,调味发酵品(申万),"155,331,427,145.0000"
851243.SI,乳品(申万),"179,630,984,630.0000"
851244.SI,食品综合(申万),"118,297,997,167.0000"
851311.SI,毛纺(申万),"32,744,521,831.0000"
851312.SI,棉纺(申万),"90,190,058,150.0000"
851313.SI,丝绸(申万),"8,266,248,458.0000"
851314.SI,印染(申万),"31,194,618,581.0000"
851315.SI,辅料(申万),"15,019,281,101.0000"
851316.SI,其他纺织(申万),"42,435,295,935.0000"
851322.SI,男装(申万),"152,413,831,660.0000"
851323.SI,女装(申万),"32,450,450,111.0000"
851324.SI,休闲服装(申万),"101,598,500,690.0000"
851325.SI,鞋帽(申万),"37,633,867,122.0000"
851326.SI,家纺(申万),"27,171,058,186.0000"
851327.SI,其他服装(申万),"116,208,995,644.0000"
851411.SI,造纸Ⅲ(申万),"160,379,908,105.0000"
851421.SI,包装印刷Ⅲ(申万),"266,315,527,684.0000"
851432.SI,家具(申万),"137,786,642,635.0000"
851433.SI,其他家用轻工(申万),"112,975,451,779.0000"
851434.SI,珠宝首饰(申万),"90,574,977,293.0000"
851435.SI,文娱用品(申万),"50,498,148,410.0000"
851441.SI,其他轻工制造Ⅲ(申万),"7,906,214,400.0000"
851511.SI,化学原料药(申万),"314,695,384,250.0000"
851512.SI,化学制剂(申万),"586,171,424,471.0000"
851521.SI,中药Ⅲ(申万),"909,556,080,321.0000"
851531.SI,生物制品Ⅲ(申万),"514,030,466,020.0000"
851541.SI,医药商业Ⅲ(申万),"284,205,093,114.0000"
851551.SI,医疗器械Ⅲ(申万),"259,272,020,343.0000"
851561.SI,医疗服务Ⅲ(申万),"234,484,369,710.0000"
851611.SI,火电(申万),"606,561,148,804.0000"
851612.SI,水电(申万),"490,079,863,391.0000"
851613.SI,燃机发电(申万),"13,417,880,118.0000"
851614.SI,热电(申万),"89,095,180,842.0000"
851615.SI,新能源发电(申万),"164,356,130,429.0000"
851621.SI,水务Ⅲ(申万),"151,586,598,605.0000"
851631.SI,燃气Ⅲ(申万),"130,279,811,960.0000"
851641.SI,环保工程及服务Ⅲ(申万),"336,646,437,819.0000"
851711.SI,港口Ⅲ(申万),"366,425,137,961.0000"
851721.SI,公交Ⅲ(申万),"63,415,162,274.0000"
851731.SI,高速公路Ⅲ(申万),"198,925,747,870.0000"
851741.SI,航空运输Ⅲ(申万),"323,856,477,578.0000"
851751.SI,机场Ⅲ(申万),"92,866,538,560.0000"
851761.SI,航运Ⅲ(申万),"191,482,855,673.0000"
851771.SI,铁路运输Ⅲ(申万),"122,110,522,465.0000"
851781.SI,物流Ⅲ(申万),"251,488,136,108.0000"
851811.SI,房地产开发Ⅲ(申万),"2,058,153,052,663.0000"
851821.SI,园区开发Ⅲ(申万),"215,272,758,086.0000"
851911.SI,银行Ⅲ(申万),"5,205,179,137,821.0000"
851921.SI,多元金融Ⅲ(申万),"213,110,491,696.0000"
851931.SI,证券Ⅲ(申万),"1,885,486,426,214.9900"
851941.SI,保险Ⅲ(申万),"1,080,864,575,233.0000"
852021.SI,贸易Ⅲ(申万),"218,749,197,254.0000"
852031.SI,百货(申万),"174,915,223,138.0000"
852032.SI,超市(申万),"76,876,026,028.0000"
852033.SI,多业态零售(申万),"176,292,219,761.0000"
852041.SI,专业连锁(申万),"195,665,606,148.0000"
852051.SI,一般物业经营(申万),"49,569,678,911.0000"
852052.SI,专业市场(申万),"95,654,530,841.0000"
852111.SI,人工景点(申万),"36,479,133,629.0000"
852112.SI,自然景点(申万),"34,219,717,876.0000"
852121.SI,酒店Ⅲ(申万),"47,437,391,541.0000"
852131.SI,旅游综合Ⅲ(申万),"233,261,847,658.0000"
852141.SI,餐饮Ⅲ(申万),"19,082,335,139.0000"
852151.SI,其他休闲服务Ⅲ(申万),
852211.SI,通信运营Ⅲ(申万),"110,456,633,656.0000"
852221.SI,互联网信息服务(申万),"275,117,303,131.0000"
852222.SI,移动互联网服务(申万),"293,743,944,350.0000"
852223.SI,其他互联网服务(申万),"55,510,975,852.0000"
852224.SI,有线电视网络(申万),"221,934,130,653.0000"
852225.SI,软件开发(申万),"600,967,613,035.0000"
852226.SI,IT服务(申万),"886,128,552,051.0000"
852241.SI,平面媒体(申万),"270,974,225,250.0000"
852242.SI,影视动漫(申万),"484,092,840,149.0000"
852243.SI,营销服务(申万),"341,208,664,378.0000"
852244.SI,其他文化传媒(申万),"14,900,366,687.0000"
852311.SI,综合Ⅲ(申万),"362,344,136,514.0000"
857221.SI,装修装饰Ⅲ(申万),"164,233,197,907.0000"
857231.SI,城轨建设(申万),"36,127,863,870.0000"
857232.SI,路桥施工(申万),"220,761,030,270.0000"
857233.SI,水利工程(申万),"127,411,417,111.0000"
857234.SI,铁路建设(申万),"247,910,355,456.0000"
857235.SI,其他基础建设(申万),"56,814,803,268.0000"
857241.SI,钢结构(申万),"51,367,646,553.0000"
857242.SI,化学工程(申万),"75,060,513,094.0000"
857243.SI,国际工程承包(申万),"47,580,988,860.0000"
857244.SI,其他专业工程(申万),"102,599,862,146.0000"
857251.SI,园林工程Ⅲ(申万),"131,722,699,406.0000"
857321.SI,电网自动化(申万),"162,718,379,270.0000"
857322.SI,工控自动化(申万),"136,790,067,093.0000"
857323.SI,计量仪表(申万),"104,557,825,323.0000"
857331.SI,综合电力设备商(申万),"96,216,155,310.0000"
857332.SI,风电设备(申万),"86,966,288,461.0000"
857333.SI,光伏设备(申万),"243,785,743,755.0000"
857334.SI,火电设备(申万),"39,217,800,040.0000"
857335.SI,储能设备(申万),"120,591,566,553.0000"
857336.SI,其它电源设备(申万),"21,883,689,100.0000"
857341.SI,高压设备(申万),"125,735,718,743.0000"
857342.SI,中压设备(申万),"169,500,261,669.0000"
857343.SI,低压设备(申万),"85,012,612,137.0000"
857344.SI,线缆部件及其他(申万),"211,904,897,064.0000"
857411.SI,航天装备Ⅲ(申万),"141,508,922,826.0000"
857421.SI,航空装备Ⅲ(申万),"335,426,803,797.0000"
857431.SI,地面兵装Ⅲ(申万),"67,692,388,631.0000"
858811.SI,其他交运设备Ⅲ(申万),"44,356,219,533.0000"
,,
数据来源：Wind资讯,,
