"","X882100.WI","X882101.WI","X882102.WI","X882103.WI","X882104.WI","X882105.WI","X882106.WI","X882107.WI","X882108.WI","X882109.WI","X882110.WI","X882111.WI","X882112.WI","X882113.WI","X882114.WI","X882115.WI","X882116.WI","X882117.WI","X882118.WI","X882119.WI","X882120.WI","X882121.WI","X882122.WI","X882123.WI","X882100.WI.1","X882101.WI.1","X882102.WI.1","X882103.WI.1","X882104.WI.1","X882105.WI.1","X882106.WI.1","X882107.WI.1","X882108.WI.1","X882109.WI.1","X882110.WI.1","X882111.WI.1","X882112.WI.1","X882113.WI.1","X882114.WI.1","X882115.WI.1","X882116.WI.1","X882117.WI.1","X882118.WI.1","X882119.WI.1","X882120.WI.1","X882121.WI.1","X882122.WI.1","X882123.WI.1"
"882100.WI",1,0.249054358300142,-0.232076083180963,-0.250981961433035,-0.456320093620287,-0.265024842377064,-0.283841471149234,-0.405637247396307,-0.345314454080131,-0.141091773872083,-0.196095349787022,0.170392237578174,0.0680986539609641,-0.147274306479773,-0.162184985690142,-0.0657986301216991,-0.232688204574815,-0.240230762377019,-0.340818819648593,-0.486329135808045,-0.371429617378566,-0.354997899268264,-0.124444030869953,-0.295856858095025,0,41,-100,-100,100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,76,-100,-100,-100,-100,-100
"882101.WI",0.249054358300142,1,0.742323451553187,0.519892927787561,0.212222949422316,0.637728442798135,0.6437249842951,0.553879499612054,0.367551204933273,0.801754117455742,0.636914106387356,0.71249474144706,0.523739300938156,0.605296428253129,0.586653098804355,0.461868180720563,0.232293189192321,-0.100930830245207,0.518697464724145,0.442083623231514,0.575277114620332,0.595916325435931,0.306179269555207,0.448354485118522,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,77,-100,0,0,0,0,12,0
"882102.WI",-0.232076083180963,0.742323451553187,1,0.911784281926615,0.459809292194295,0.941750310232396,0.963531941010652,0.917695486522825,0.822589222780995,0.947260084119542,0.955167408720056,0.770703876149763,0.710132349877725,0.918440369413179,0.914807059024764,0.718126522350839,0.537259767434248,0.0614522117925352,0.830305567658185,0.893981071031448,0.941868333948794,0.871261420465255,0.567344285732041,0.861831917273542,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-100,0,0,0,0,26,0
"882103.WI",-0.250981961433035,0.519892927787561,0.911784281926615,1,0.304913422488078,0.958927573896502,0.96414372729116,0.927000825293311,0.937984049019177,0.838508657086281,0.951685890951029,0.778752535710635,0.847371836688663,0.961145836148133,0.979067295179929,0.804248592368098,0.47379911092538,0.113273311365715,0.813078598814834,0.907988812079126,0.967539521765731,0.854895266709214,0.524373006418016,0.862467872194398,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,-100,0,0,0,0,28,0
"882104.WI",-0.456320093620287,0.212222949422316,0.459809292194295,0.304913422488078,1,0.327461407202444,0.401142439910133,0.49457560537042,0.403682175232632,0.447189438385123,0.347568769100784,-0.0768480328658039,-0.0820482554952749,0.203931010629778,0.229104907098544,0.104535651009584,0.627870430874421,0.130003184018748,0.49373254716581,0.601202491203942,0.463677596126886,0.424945349923035,0.570393477495886,0.55352288535979,-100,0,0,0,0,0,0,0,49,0,0,-100,0,6,0,-72,86,100,0,0,0,0,28,0
"882105.WI",-0.265024842377064,0.637728442798135,0.941750310232396,0.958927573896502,0.327461407202444,1,0.980207515523945,0.93700401916297,0.884080241336999,0.881521922125334,0.965333305639121,0.790355542082674,0.81012852870169,0.952835302929731,0.965935936349809,0.823691846191417,0.449926263600785,0.0982377837693881,0.851403544770499,0.896903994169253,0.966588975894292,0.868208368916138,0.478877602864805,0.83363599806532,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,58,0
"882106.WI",-0.283841471149234,0.6437249842951,0.963531941010652,0.96414372729116,0.401142439910133,0.980207515523945,1,0.962563998119124,0.894409985764505,0.907021872425611,0.965570816438338,0.793866961161792,0.79367630872583,0.948901028615377,0.968019198948303,0.818745581250216,0.506939875712091,0.099756079781091,0.873933177521591,0.928976272646446,0.980980922061728,0.857232703203994,0.549209590108119,0.883955663820703,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,51,0
"882107.WI",-0.405637247396307,0.553879499612054,0.917695486522825,0.927000825293311,0.49457560537042,0.93700401916297,0.962563998119124,1,0.862421086169697,0.864230133444971,0.910496625495374,0.700333698603053,0.699644699967596,0.86998666428098,0.909339428678196,0.782761219311311,0.544589304649755,0.149040846497732,0.913395785306115,0.951393184175398,0.97055817113725,0.835856219735524,0.544118245356929,0.869691346737155,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,100,0
"882108.WI",-0.345314454080131,0.367551204933273,0.822589222780995,0.937984049019177,0.403682175232632,0.884080241336999,0.894409985764505,0.862421086169697,1,0.742845052971247,0.883749445882612,0.607159361265259,0.751746731371688,0.902212512881669,0.903642491849763,0.709208818129506,0.504839008284797,0.144256135836131,0.763618137496383,0.900501729342664,0.916461407839496,0.792873069667013,0.621333103150503,0.846309056456516,100,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,12,100,-100,0,0,0,-1,1,0
"882109.WI",-0.141091773872083,0.801754117455742,0.947260084119542,0.838508657086281,0.447189438385123,0.881521922125334,0.907021872425611,0.864230133444971,0.742845052971247,1,0.903202783301632,0.772680763182646,0.673329730237281,0.851072429166557,0.849578912051925,0.668864139826833,0.491566356429379,0.0300123507157,0.767372565553783,0.798172734904012,0.877570144318965,0.838829987606749,0.543870413235368,0.759739548307506,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,100,-100,0,0,0,0,54,0
"882110.WI",-0.196095349787022,0.636914106387356,0.955167408720056,0.951685890951029,0.347568769100784,0.965333305639121,0.965570816438338,0.910496625495374,0.883749445882612,0.903202783301632,1,0.81112510501471,0.78478556562803,0.965663780659894,0.959842402367007,0.76063160238741,0.467700097104537,0.0827067925275062,0.774692561500435,0.883005642153089,0.952740710823097,0.886567068092191,0.527759055776849,0.844028723120314,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,58,0
"882111.WI",0.170392237578174,0.71249474144706,0.770703876149763,0.778752535710635,-0.0768480328658039,0.790355542082674,0.793866961161792,0.700333698603053,0.607159361265259,0.772680763182646,0.81112510501471,1,0.849506729806757,0.843055727563245,0.848317962844687,0.781775605692192,0.163702954157992,-0.00788909565246576,0.573150350699122,0.562074807784075,0.720804257736092,0.63307115417798,0.275067227315382,0.58950801109328,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,56,0
"882112.WI",0.0680986539609641,0.523739300938156,0.710132349877725,0.847371836688663,-0.0820482554952749,0.81012852870169,0.79367630872583,0.699644699967596,0.751746731371688,0.673329730237281,0.78478556562803,0.849506729806757,1,0.865335259251294,0.899234409627598,0.814414590026749,0.236703659344041,0.00832264330728624,0.633544654633847,0.61542496765122,0.750548762472837,0.606540506497071,0.328735041816648,0.663352537266647,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-100,0,0,0,-100,0,0
"882113.WI",-0.147274306479773,0.605296428253129,0.918440369413179,0.961145836148133,0.203931010629778,0.952835302929731,0.948901028615377,0.86998666428098,0.902212512881669,0.851072429166557,0.965663780659894,0.843055727563245,0.865335259251294,1,0.977383658524651,0.787714387182359,0.401449978807526,0.0772314274561051,0.749152957276591,0.841531987869101,0.923269960065897,0.83030466820965,0.478413573059773,0.813771356671374,100,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,48,-100,0,0,0,0,1,0
"882114.WI",-0.162184985690142,0.586653098804355,0.914807059024764,0.979067295179929,0.229104907098544,0.965935936349809,0.968019198948303,0.909339428678196,0.903642491849763,0.849578912051925,0.959842402367007,0.848317962844687,0.899234409627598,0.977383658524651,1,0.857282979061407,0.434861041827773,0.0798244968947887,0.812557901325309,0.862060951872444,0.945563731505226,0.809515718809667,0.493195878225559,0.857889615465985,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,1,0
"882115.WI",-0.0657986301216991,0.461868180720563,0.718126522350839,0.804248592368098,0.104535651009584,0.823691846191417,0.818745581250216,0.782761219311311,0.709208818129506,0.668864139826833,0.76063160238741,0.781775605692192,0.814414590026749,0.787714387182359,0.857282979061407,1,0.468893784016242,0.0360337830414101,0.795773429240748,0.69403341731867,0.758259808314321,0.571626308396186,0.427224597004712,0.739848909802215,100,27,0,-12,72,0,0,0,-12,10,0,0,0,0,0,0,0,-100,0,-9,-7,-84,87,9
"882116.WI",-0.232688204574815,0.232293189192321,0.537259767434248,0.47379911092538,0.627870430874421,0.449926263600785,0.506939875712091,0.544589304649755,0.504839008284797,0.491566356429379,0.467700097104537,0.163702954157992,0.236703659344041,0.401449978807526,0.434861041827773,0.468893784016242,1,0.0367003651448282,0.647684413158475,0.606025865182435,0.512901953800423,0.382365024123875,0.630171086766638,0.683944402575279,88,-77,-77,-100,-86,0,-100,-100,-100,-100,-100,-100,-46,-48,-100,0,0,-100,0,-55,-100,-100,-47,-29
"882117.WI",-0.240230762377019,-0.100930830245207,0.0614522117925352,0.113273311365715,0.130003184018748,0.0982377837693881,0.099756079781091,0.149040846497732,0.144256135836131,0.0300123507157,0.0827067925275062,-0.00788909565246576,0.00832264330728624,0.0772314274561051,0.0798244968947887,0.0360337830414101,0.0367003651448282,1,0.136347223855253,0.149572960563312,0.129074706128352,0.109393775777499,-0.00907601045688894,0.134638962548924,100,100,100,100,-100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100
"882118.WI",-0.340818819648593,0.518697464724145,0.830305567658185,0.813078598814834,0.49373254716581,0.851403544770499,0.873933177521591,0.913395785306115,0.763618137496383,0.767372565553783,0.774692561500435,0.573150350699122,0.633544654633847,0.749152957276591,0.812557901325309,0.795773429240748,0.647684413158475,0.136347223855253,1,0.867675246482283,0.850716118869946,0.629977638585201,0.547722249905908,0.870132001864561,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,40,0
"882119.WI",-0.486329135808045,0.442083623231514,0.893981071031448,0.907988812079126,0.601202491203942,0.896903994169253,0.928976272646446,0.951393184175398,0.900501729342664,0.798172734904012,0.883005642153089,0.562074807784075,0.61542496765122,0.841531987869101,0.862060951872444,0.69403341731867,0.606025865182435,0.149572960563312,0.867675246482283,1,0.957066796761148,0.828722444570733,0.602938579918091,0.888169208212484,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,-100,0,0,0,0,1,0
"882120.WI",-0.371429617378566,0.575277114620332,0.941868333948794,0.967539521765731,0.463677596126886,0.966588975894292,0.980980922061728,0.97055817113725,0.916461407839496,0.877570144318965,0.952740710823097,0.720804257736092,0.750548762472837,0.923269960065897,0.945563731505226,0.758259808314321,0.512901953800423,0.129074706128352,0.850716118869946,0.957066796761148,1,0.908819382874012,0.553352858461107,0.866959316909003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100,-100,0,0,0,0,53,0
"882121.WI",-0.354997899268264,0.595916325435931,0.871261420465255,0.854895266709214,0.424945349923035,0.868208368916138,0.857232703203994,0.835856219735524,0.792873069667013,0.838829987606749,0.886567068092191,0.63307115417798,0.606540506497071,0.83030466820965,0.809515718809667,0.571626308396186,0.382365024123875,0.109393775777499,0.629977638585201,0.828722444570733,0.908819382874012,1,0.454705277807328,0.677919049808261,100,0,0,0,0,0,0,0,1,0,0,0,100,0,0,84,100,-100,0,0,0,0,100,100
"882122.WI",-0.124444030869953,0.306179269555207,0.567344285732041,0.524373006418016,0.570393477495886,0.478877602864805,0.549209590108119,0.544118245356929,0.621333103150503,0.543870413235368,0.527759055776849,0.275067227315382,0.328735041816648,0.478413573059773,0.493195878225559,0.427224597004712,0.630171086766638,-0.00907601045688894,0.547722249905908,0.602938579918091,0.553352858461107,0.454705277807328,1,0.696657543517329,100,-12,-26,-28,-28,-58,-51,-100,-1,-54,-58,-56,0,-1,-1,-87,47,-100,-40,-1,-53,-100,0,-26
"882123.WI",-0.295856858095025,0.448354485118522,0.861831917273542,0.862467872194398,0.55352288535979,0.83363599806532,0.883955663820703,0.869691346737155,0.846309056456516,0.759739548307506,0.844028723120314,0.58950801109328,0.663352537266647,0.813771356671374,0.857889615465985,0.739848909802215,0.683944402575279,0.134638962548924,0.870132001864561,0.888169208212484,0.866959316909003,0.677919049808261,0.696657543517329,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,29,-100,0,0,0,-100,26,0
