"","X882100.WI","X882101.WI","X882102.WI","X882103.WI","X882104.WI","X882105.WI","X882106.WI","X882107.WI","X882108.WI","X882109.WI","X882110.WI","X882111.WI","X882112.WI","X882113.WI","X882114.WI","X882115.WI","X882116.WI","X882117.WI","X882118.WI","X882119.WI","X882120.WI","X882121.WI","X882122.WI","X882123.WI","X882100.WI.1","X882101.WI.1","X882102.WI.1","X882103.WI.1","X882104.WI.1","X882105.WI.1","X882106.WI.1","X882107.WI.1","X882108.WI.1","X882109.WI.1","X882110.WI.1","X882111.WI.1","X882112.WI.1","X882113.WI.1","X882114.WI.1","X882115.WI.1","X882116.WI.1","X882117.WI.1","X882118.WI.1","X882119.WI.1","X882120.WI.1","X882121.WI.1","X882122.WI.1","X882123.WI.1"
"882100.WI",1,0.228811847756202,-0.318007982037314,-0.428056436843263,-0.567895857055791,-0.365263774970135,-0.389541421901639,-0.501041668357412,-0.5100604401366,-0.194821284679287,-0.349885451847738,0.081853900465845,-0.0838848883446603,-0.28941819240788,-0.312109093378092,-0.139885841979871,-0.236327861595053,-0.407270032062255,-0.377614063113356,-0.623922315210162,-0.506682894008207,-0.502705156663692,-0.192955082584199,-0.431630147490539,0,5,-5,-5,5,-5,-5,5,-5,5,-5,-5,-5,-5,-5,-5,5,-5,5,-5,-5,-5,0,-5
"882101.WI",0.228811847756202,1,0.742323451553187,0.519892927787561,0.212222949422316,0.637728442798135,0.6437249842951,0.553879499612054,0.367551204933273,0.801754117455742,0.636914106387356,0.71249474144706,0.523739300938156,0.605296428253129,0.586653098804355,0.449825601606778,0.211620363737612,-0.502313290068419,0.518697464724145,0.442083623231514,0.575277114620332,0.595916325435931,0.303749565922747,0.448354485118522,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,5,-5,0,0,0,0,5,0
"882102.WI",-0.318007982037314,0.742323451553187,1,0.911784281926615,0.459809292194295,0.941750310232396,0.963531941010652,0.917695486522825,0.822589222780995,0.947260084119542,0.955167408720056,0.770703876149763,0.710132349877725,0.918440369413179,0.914807059024764,0.718126522350839,0.49971157086023,-0.249578822874594,0.830305567658185,0.893981071031448,0.941868333948794,0.871261420465255,0.561499347702783,0.861831917273542,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,0,0,0,0,5,0
"882103.WI",-0.428056436843263,0.519892927787561,0.911784281926615,1,0.304913422488078,0.958927573896502,0.96414372729116,0.927000825293311,0.937984049019177,0.838508657086281,0.951685890951029,0.778752535710635,0.847371836688663,0.961145836148133,0.979067295179929,0.802022117502229,0.413699552179223,-0.106921630233212,0.813078598814834,0.907988812079126,0.967539521765731,0.854895266709214,0.517719021248441,0.862467872194398,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,-5,0,0,0,0,5,0
"882104.WI",-0.567895857055791,0.212222949422316,0.459809292194295,0.304913422488078,1,0.327461407202444,0.401142439910133,0.49457560537042,0.397420496120767,0.447189438385123,0.347568769100784,-0.110950760214879,-0.0820482554952749,0.203922921052578,0.229104907098544,0.0745007258780261,0.525263214852724,0.00148358105760384,0.49373254716581,0.601202491203942,0.463677596126886,0.424945349923035,0.557190685163461,0.55352288535979,-5,0,0,0,0,0,0,0,5,0,0,0,0,1,0,-5,5,-5,0,0,0,0,5,0
"882105.WI",-0.365263774970135,0.637728442798135,0.941750310232396,0.958927573896502,0.327461407202444,1,0.980207515523945,0.93700401916297,0.884080241336999,0.881521922125334,0.965333305639121,0.790355542082674,0.81012852870169,0.952835302929731,0.965935936349809,0.823691846191417,0.449926263600785,-0.155369553576581,0.851403544770499,0.896903994169253,0.966588975894292,0.868208368916138,0.467358561987768,0.83363599806532,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,5,0
"882106.WI",-0.389541421901639,0.6437249842951,0.963531941010652,0.96414372729116,0.401142439910133,0.980207515523945,1,0.962563998119124,0.894409985764505,0.907021872425611,0.965570816438338,0.793866961161792,0.79367630872583,0.948901028615377,0.968019198948303,0.818745581250216,0.481053549423529,-0.189784757133168,0.873933177521591,0.928976272646446,0.980980922061728,0.857232703203994,0.533078360598741,0.883955663820703,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,0,0,0,0,5,0
"882107.WI",-0.501041668357412,0.553879499612054,0.917695486522825,0.927000825293311,0.49457560537042,0.93700401916297,0.962563998119124,1,0.862421086169697,0.864230133444971,0.910496625495374,0.700333698603053,0.699644699967596,0.86998666428098,0.909339428678196,0.782761219311311,0.462780414032021,-0.0587265922776313,0.913395785306115,0.951393184175398,0.97055817113725,0.835856219735524,0.499631559259488,0.869691346737155,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,0,0,0,0,5,0
"882108.WI",-0.5100604401366,0.367551204933273,0.822589222780995,0.937984049019177,0.397420496120767,0.884080241336999,0.894409985764505,0.862421086169697,1,0.742845052971247,0.883749445882612,0.607159361265259,0.751746731371688,0.902212512881669,0.903642491849763,0.705760814678033,0.464169977941087,-0.0943263700036652,0.763618137496383,0.900501729342664,0.916461407839496,0.792873069667013,0.621333103150503,0.846309056456516,5,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,5,5,-5,0,0,0,-1,1,0
"882109.WI",-0.194821284679287,0.801754117455742,0.947260084119542,0.838508657086281,0.447189438385123,0.881521922125334,0.907021872425611,0.864230133444971,0.742845052971247,1,0.903202783301632,0.772680763182646,0.673329730237281,0.851072429166557,0.849578912051925,0.667112812621958,0.40641847838406,-0.322816985394114,0.767372565553783,0.798172734904012,0.877570144318965,0.838829987606749,0.521170805086364,0.759739548307506,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,5,-5,0,0,0,0,5,0
"882110.WI",-0.349885451847738,0.636914106387356,0.955167408720056,0.951685890951029,0.347568769100784,0.965333305639121,0.965570816438338,0.910496625495374,0.883749445882612,0.903202783301632,1,0.81112510501471,0.78478556562803,0.965663780659894,0.959842402367007,0.76063160238741,0.422279400893877,-0.160628990856816,0.774692561500435,0.883005642153089,0.952740710823097,0.886567068092191,0.506036099662726,0.844028723120314,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,0,0,0,0,5,0
"882111.WI",0.081853900465845,0.71249474144706,0.770703876149763,0.778752535710635,-0.110950760214879,0.790355542082674,0.793866961161792,0.700333698603053,0.607159361265259,0.772680763182646,0.81112510501471,1,0.849506729806757,0.843055727563245,0.848317962844687,0.781775605692192,0.153547770390294,-0.313299467502768,0.573150350699122,0.562074807784075,0.720804257736092,0.63307115417798,0.251766784229684,0.58950801109328,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-5,0,0,0,0,5,0
