"","X882100.WI","X882101.WI","X882102.WI","X882103.WI","X882104.WI","X882105.WI","X882106.WI","X882107.WI","X882108.WI","X882109.WI","X882110.WI","X882111.WI","X882112.WI","X882113.WI","X882114.WI","X882115.WI","X882116.WI","X882117.WI","X882118.WI","X882119.WI","X882120.WI","X882121.WI","X882122.WI","X882123.WI","X882100.WI.1","X882101.WI.1","X882102.WI.1","X882103.WI.1","X882104.WI.1","X882105.WI.1","X882106.WI.1","X882107.WI.1","X882108.WI.1","X882109.WI.1","X882110.WI.1","X882111.WI.1","X882112.WI.1","X882113.WI.1","X882114.WI.1","X882115.WI.1","X882116.WI.1","X882117.WI.1","X882118.WI.1","X882119.WI.1","X882120.WI.1","X882121.WI.1","X882122.WI.1","X882123.WI.1"
"882100.WI",1,0.249054358300142,-0.0982385503832232,-0.0685797134903761,-0.304872532426341,-0.123840839959401,-0.143521824638751,-0.259931447451011,-0.150970347451918,-0.0299490657314764,-0.0378806085956748,0.256258920136452,0.189755987166215,0.0161030348131032,-0.00626004815581125,0.0114881924670852,-0.232688204574815,-0.217793334737093,-0.302826474975142,-0.329605206450123,-0.203064467104094,-0.144834047770357,-0.10051637311684,-0.172063203269707,0,41,-180,-180,180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-180,-88,-143,-180,-180,-180,-180,-154,-180
"882101.WI",0.249054358300142,1,0.742323451553187,0.519892927787561,0.212222949422316,0.637728442798135,0.6437249842951,0.553879499612054,0.367551204933273,0.801754117455742,0.636914106387356,0.71249474144706,0.523739300938156,0.605296428253129,0.586653098804355,0.461868180720563,0.232293189192321,-0.0754478118472681,0.518697464724145,0.442083623231514,0.575277114620332,0.595916325435931,0.306179269555207,0.448354485118522,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,77,-136,0,0,0,0,12,0
"882102.WI",-0.0982385503832232,0.742323451553187,1,0.911784281926615,0.459809292194295,0.941750310232396,0.963531941010652,0.917695486522825,0.822589222780995,0.947260084119542,0.955167408720056,0.770703876149763,0.710132349877725,0.918440369413179,0.914807059024764,0.718126522350839,0.537259767434248,0.0919002028953914,0.830305567658185,0.893981071031448,0.941868333948794,0.871261420465255,0.567344285732041,0.861831917273542,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-140,0,0,0,0,26,0
"882103.WI",-0.0685797134903761,0.519892927787561,0.911784281926615,1,0.304913422488078,0.958927573896502,0.96414372729116,0.927000825293311,0.937984049019177,0.838508657086281,0.951685890951029,0.778752535710635,0.847371836688663,0.961145836148133,0.979067295179929,0.804248592368098,0.476491230224599,0.137320049910715,0.813078598814834,0.907988812079126,0.967539521765731,0.854895266709214,0.524373006418016,0.862467872194398,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,107,-140,0,0,0,0,28,0
"882104.WI",-0.304872532426341,0.212222949422316,0.459809292194295,0.304913422488078,1,0.327461407202444,0.401142439910133,0.49457560537042,0.405201929892518,0.447189438385123,0.347568769100784,-0.0532143954723821,-0.0633742902564283,0.203931010629778,0.229104907098544,0.104535651009584,0.627870430874421,0.207572317275426,0.49373254716581,0.601202491203942,0.463677596126886,0.424945349923035,0.570393477495886,0.55352288535979,-180,0,0,0,0,0,0,0,180,0,0,-158,180,6,0,-72,86,153,0,0,0,0,28,0
"882105.WI",-0.123840839959401,0.637728442798135,0.941750310232396,0.958927573896502,0.327461407202444,1,0.980207515523945,0.93700401916297,0.884080241336999,0.881521922125334,0.965333305639121,0.790355542082674,0.81012852870169,0.952835302929731,0.965935936349809,0.823691846191417,0.449926263600785,0.119973469378122,0.851403544770499,0.896903994169253,0.966588975894292,0.868208368916138,0.479658023573887,0.83363599806532,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-137,0,0,0,0,117,0
"882106.WI",-0.143521824638751,0.6437249842951,0.963531941010652,0.96414372729116,0.401142439910133,0.980207515523945,1,0.962563998119124,0.894409985764505,0.907021872425611,0.965570816438338,0.793866961161792,0.79367630872583,0.948901028615377,0.968019198948303,0.818745581250216,0.507396460835646,0.125733668930346,0.873933177521591,0.928976272646446,0.980980922061728,0.857232703203994,0.549209590108119,0.883955663820703,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,-140,0,0,0,0,51,0
"882107.WI",-0.259931447451011,0.553879499612054,0.917695486522825,0.927000825293311,0.49457560537042,0.93700401916297,0.962563998119124,1,0.862421086169697,0.864230133444971,0.910496625495374,0.700333698603053,0.699644699967596,0.86998666428098,0.909339428678196,0.782761219311311,0.55332347284279,0.152319569266596,0.913395785306115,0.951393184175398,0.97055817113725,0.835856219735524,0.547233388375712,0.869691346737155,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,-111,0,0,0,0,117,0
"882108.WI",-0.150970347451918,0.367551204933273,0.822589222780995,0.937984049019177,0.405201929892518,0.884080241336999,0.894409985764505,0.862421086169697,1,0.742845052971247,0.883749445882612,0.607159361265259,0.751746731371688,0.902212512881669,0.903642491849763,0.709208818129506,0.506261975469194,0.169936227572221,0.763618137496383,0.900501729342664,0.916461407839496,0.792873069667013,0.621333103150503,0.846309056456516,180,0,0,0,-180,0,0,0,0,0,0,0,0,0,0,12,104,-148,0,0,0,-1,1,0
"882109.WI",-0.0299490657314764,0.801754117455742,0.947260084119542,0.838508657086281,0.447189438385123,0.881521922125334,0.907021872425611,0.864230133444971,0.742845052971247,1,0.903202783301632,0.772680763182646,0.673329730237281,0.851072429166557,0.849578912051925,0.668864139826833,0.495128108602058,0.0496754369069912,0.767372565553783,0.798172734904012,0.877570144318965,0.838829987606749,0.543870413235368,0.759739548307506,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,106,-134,0,0,0,0,54,0
