"","X882001.WI","X882002.WI","X882003.WI","X882004.WI","X882005.WI","X882006.WI","X882007.WI","X882008.WI","X882009.WI","X882010.WI","X882001.WI.1","X882002.WI.1","X882003.WI.1","X882004.WI.1","X882005.WI.1","X882006.WI.1","X882007.WI.1","X882008.WI.1","X882009.WI.1","X882010.WI.1"
"882001.WI",1,0.234402859451042,-0.387689483011849,-0.377273134680893,0.0624413564915707,-0.312473988833202,-0.263355022133977,-0.560746452577999,-0.192605489019718,-0.426879211069335,0,10,-10,-10,-10,-10,-10,-10,0,-10
"882002.WI",0.234402859451042,1,0.708138132437228,0.648506715871336,0.71318074512885,0.582827186924738,0.477416902704025,0.526035792716829,0.305771374546893,0.448238692406347,-10,0,0,0,0,0,0,0,10,0
"882003.WI",-0.387689483011849,0.708138132437228,1,0.954850667966203,0.715660054403368,0.886774647320553,0.796918732786517,0.945744085122199,0.610488553661499,0.882766327630856,10,0,0,0,0,0,0,0,10,0
"882004.WI",-0.377273134680893,0.648506715871336,0.954850667966203,1,0.8107862918426,0.97113299234736,0.859702062669411,0.966867924500773,0.542610326151425,0.873929256964949,10,0,0,0,0,0,0,0,10,0
"882005.WI",0.0624413564915707,0.71318074512885,0.715660054403368,0.8107862918426,1,0.866476078172093,0.691272290139821,0.681772497076182,0.275684570680351,0.614712840722397,10,0,0,0,0,0,0,0,10,0
"882006.WI",-0.312473988833202,0.582827186924738,0.886774647320553,0.97113299234736,0.866476078172093,1,0.855051768184533,0.920512042103034,0.499530515227032,0.86014030569582,10,0,0,0,0,0,0,0,1,0
"882007.WI",-0.263355022133977,0.477416902704025,0.796918732786517,0.859702062669411,0.691272290139821,0.855051768184533,1,0.817585112467781,0.52092112062889,0.854923305048968,10,0,0,0,0,0,0,0,0,0
"882008.WI",-0.560746452577999,0.526035792716829,0.945744085122199,0.966867924500773,0.681772497076182,0.920512042103034,0.817585112467781,1,0.570042890742661,0.879769884424019,10,0,0,0,0,0,0,0,10,0
"882009.WI",-0.192605489019718,0.305771374546893,0.610488553661499,0.542610326151425,0.275684570680351,0.499530515227032,0.52092112062889,0.570042890742661,1,0.694613490897827,0,-10,-10,-10,-10,-1,0,-10,0,-10
"882010.WI",-0.426879211069335,0.448238692406347,0.882766327630856,0.873929256964949,0.614712840722397,0.86014030569582,0.854923305048968,0.879769884424019,0.694613490897827,1,10,0,0,0,0,0,0,0,10,0
