"","X882001.WI","X882002.WI","X882003.WI","X882004.WI","X882005.WI","X882006.WI","X882007.WI","X882008.WI","X882009.WI","X882010.WI","X882001.WI.1","X882002.WI.1","X882003.WI.1","X882004.WI.1","X882005.WI.1","X882006.WI.1","X882007.WI.1","X882008.WI.1","X882009.WI.1","X882010.WI.1"
"882001.WI",1,0.249659165967953,-0.172779721657871,-0.128004560537769,0.252810277393584,-0.0111871543162959,-0.144724992975639,-0.25808695812568,-0.100330626390726,-0.171589494492901,0,41,-180,-180,-180,-180,-180,-180,-154,-180
"882002.WI",0.249659165967953,1,0.708138132437228,0.648506715871336,0.71318074512885,0.582827186924738,0.477416902704025,0.526035792716829,0.306088342454361,0.448238692406347,-41,0,0,0,0,0,0,0,12,0
"882003.WI",-0.172779721657871,0.708138132437228,1,0.954850667966203,0.715660054403368,0.886774647320553,0.796918732786517,0.945744085122199,0.614119955962191,0.882766327630856,180,0,0,0,0,0,0,0,27,0
"882004.WI",-0.128004560537769,0.648506715871336,0.954850667966203,1,0.8107862918426,0.97113299234736,0.859702062669411,0.966867924500773,0.549019031814293,0.873929256964949,180,0,0,0,0,0,0,0,49,0
"882005.WI",0.252810277393584,0.71318074512885,0.715660054403368,0.8107862918426,1,0.866476078172093,0.691272290139821,0.681772497076182,0.29161072270277,0.614712840722397,180,0,0,0,0,0,0,0,54,0
"882006.WI",-0.0111871543162959,0.582827186924738,0.886774647320553,0.97113299234736,0.866476078172093,1,0.855051768184533,0.920512042103034,0.499530515227032,0.86014030569582,180,0,0,0,0,0,0,0,1,0
"882007.WI",-0.144724992975639,0.477416902704025,0.796918732786517,0.859702062669411,0.691272290139821,0.855051768184533,1,0.817585112467781,0.52092112062889,0.854923305048968,180,0,0,0,0,0,0,0,0,0
"882008.WI",-0.25808695812568,0.526035792716829,0.945744085122199,0.966867924500773,0.681772497076182,0.920512042103034,0.817585112467781,1,0.575178023652141,0.879769884424019,180,0,0,0,0,0,0,0,28,0
"882009.WI",-0.100330626390726,0.306088342454361,0.614119955962191,0.549019031814293,0.29161072270277,0.499530515227032,0.52092112062889,0.575178023652141,1,0.696677538855609,154,-12,-27,-49,-54,-1,0,-28,0,-26
"882010.WI",-0.171589494492901,0.448238692406347,0.882766327630856,0.873929256964949,0.614712840722397,0.86014030569582,0.854923305048968,0.879769884424019,0.696677538855609,1,180,0,0,0,0,0,0,0,26,0
